review_no,review_body,discount_text
13," full disclosure i received this product free from amazon simplereview in order to provide a review here. i have attempted to be objective in reviewing it. this is a twopack of simple sterling .925 fine silver chain necklaces, one 18, one 24, otherwise identical. they are articulated snake chain style  a chain of round segments closely interlocked to form a thin round cylinder with a slightly textured surface, that bends and curves smoothly. they attach with a springloaded clasp.the chains are very thin. the quality seems good. the surface appearance is smooth, shimmery, and very attractive. they are perfect as subtle accent jewelry or for casual wear. they are too thin to make a bold statement, but very pretty for what they are. you can give them as a gift with confidence.",full disclosure i received this product free from amazon simplereview in order to provide a review here.
651,"... something frosted, something blue. i apologize for the rhyme but this is a new take on an older model which i own and lovetotallee slim skin iphone 5  5s snap on hard shell case comfort grip black. the balance between minimalism and protection are still incorporated into the design, but the back is frosted and the color scheme is blue. to extend my trite opening, this 2014 model is a marriage of good design and aesthetics.i was provided with a review sample by the manufacturer, in part i am sure, because of how much i loved the older model. since most folks are probably not familiar with the older design that this one shares ill rehash the key pointsprotection the rigid case is strong enough to protect against hard surfaces and objects, but is also pliable and capable of absorbing or at least mitigating shocks from short distance drops. in addition the top part of the face is raised above the phones screen.  if you drop your phone on a flat, hard surface the raised lip of the case will provide some protection for your screen. of course,  all bets are off if you drop it on an uneven surface like gravel or rocks. this is a case that is more at home indoors than one whose owner participates nin rigorous activities.construction pliable, shock absorbing material surrounding your phone, with a hard and still slightly cushioned back.function everything fits as though this was an integral part of the phone itself. this is especially true of the camera and flash. if you previously owned an iphone 4 you will especially appreciate the improved camera performance of the 5 or 5s in this case. plus you can use your screen up to the very edge, something other cases do not allow.here is what this one has that trumps the older model aesthetics. the color is certainly not boring. its vivid in fact. and the frosted back still allows the apple logo to show, but the frosting adds texture and depth.the bottom line, though, is this case provides more protection than you would guess at a glance, and is more than just a pretty face at the altar.",provided with a review 
799,".its a nice bluetooth speaker with a warmer, somewhat deeper sound than smaller bluetooth speakers ive tried.if you watch movies on your laptop or listen to podcasts around the house, and you dont want to wear headphones, you could really enjoy this speaker.i also have theplemo version, and there are many other clones. this model charges via microusb. my plemo from oct 2013 is miniusb more cables to hassle with.pros good sound quality for its size. especially voice programming  vocals. warmer, deeper sound than smaller bluetooth speakers ive tried. powerful for its size see note 1. nice price when 19  25oks audio delay matters when watching video is not too bad 0.13 sec nice shape for around the house. not as good for backpack, glove box. works for phone calls microusb charge port user guide is clear. no setup issues.cons audio cable has lots of static. clears up after using steel wool on the metal plugs. the button markings are light gray...hard to see at a low angle. bad design. no warranty info listed or enclosed with product   the sound   im not a sound geek, but i notice good and bad sound. for music, it sounds way better than laptop speakers including my macbook pro 13 and much worse than your average headphones or larger speakers. the quality and power is comparable to the builtin speakers on my 21 2009 imac the imac does highs much better and has stereo separation, but does bass less well.its not stereo. there is one speaker.background hiss is very faint when using bluetooth. i dont think youll hear it unless you put your ear up to the speaker.for podcasts and your average movie, the sound seems very good.max volume works nicely in a large room or outdoors if its fairly quiet otherwise.   alternatives    many clones probably from the same factory search magic cube bluetoothsolememo n11 stereo bluetooth speakeris similar but with stereo, more features and more power.   disclosure   the manufacturer gave me this item for review. i believe my review is impartial.   notes   note 1 volume  max volume works nicely in a large quiet living room. it even works outdoors quite well. from your computer, remember to check both your system volume and the app for example, itunes volume. comments  questions welcome ",disclosure   the manufacturer gave me this item for review. i believe my review is impartial.
975,".product provided free of charge for writing a review.this is a media player that will stream video from popular places like netflix, youtube, and other videos in the google store.  it is an android device for the google ecosystem.i tested this particular product using netflix at 1080p and the results were less than desirable.  initially the video was blurry.  after about 1 minute, the video got clearer but was not smooth playing.  i reduced the video play back quality 540 in resolution???, the video was no longer choppy, but the video quality at that low of a resolution was not that great  so there is the trade off.next i tried this product out with youtube.  i had no issue with youtube playing  its quality was good.  but to get around youtube you would probably be better off with a bluetooth keyboard as opposed to using the provided remote.the two test above were done via the supplied hdmi cable.i did not try this device with the videos in the google store as i do not purchase from the google ecosystem. also, i did not try this with skype.beware  this is an android device for the google ecosystem. you cannot play amazon instant videos using this product  you need the amazon firetv to play instant videos from amazon.so which should you buy? it depends. if you spend most of your time with the google ecosystem then this box might work for you. if you spend most of your time with the amazon ecosystem then the firetv is the box for you.  netflix video playback on the firetv is seamless.my preference for a google device iskeedox 8g version dual core android 4.2 smart tv box xbmc media player 1080p wifi hdmi xbmc netflix youtube skype qq, as i think it works a little better than this device, and it is selling for 66 with prime shipping instead of selling for over 100, but that is just my opinion.normally i would give a device like this 3 stars, but i must realize that there are people out there who are heavy into the google ecosystem, and just because i am not one of them does not mean there is a problem with the box.just remember the limitations on using netflix with this box.",product provided free of charge for writing a review.
450,"1. received the product for free.2. i was not required to write a positive review. federal trade commission8217s 16 cfr, part 255  8220guides concerning the use of endorsements and testimonials in advertising.8221i like the material thats used on the phone. battery does charge as advertise, an additional full charge that i need when im on the go. id recommend it for anyone.", received the product for free.
252,"5 star america sent out some review units of this product, and i was one of the recipients.at first glance, this battery pack looks like a nokia phone that is powered off.  i have the bright yellow version, which is very attractive.  there are separate input and output ports, so the phone can be charged by the charger while the charger is charged by your phone charger.  in other words, you wont need to buy an extra charger to have both your phone and the battery pack charged every morning.  an attractive flat micro usb cable is included too.  nice!the battery pack is good for one phone charge, and maybe a bit more.  it is not comparable to the huge chargers that are used for multiple tablet charges.  instead, this product is small and impressively inexpensive.  i think it is a good value and may buy another one.","5 star america sent out some review units of this product, and i was one of the recipients."
709,"5600 mah is enough to give my htc one m8 a full charge with 29 power left when its done. yes, theres a digital meter to tell me exactly how much oomph is in it. i prefer it to power indicator lights that leave me guesstimating. the 2.1 amp port is great for a fast charge. thats so much better than 1 amp.yes, 5600 mah is the perfect size for charging larger smartphones like mine. its not too heavy nor bulky and it does the job. the only thing i dont like is the glossy, fingerprint magnet exterior. i prefer matte finishes myself. glossy finishes mar too easily.this product was provided for review by maxboost.",provided for review 
242,"5star offered us a sample of this portable battery charger to get feedback. heres what we liked about it great for emergency backup  it is lightweight and portable to carry cost is reasonable if we purchase more shape that is flat and rectangular will fit easily in pocket or glove compartment of car for a long trip and you want to charge your phone 3 lights indicate fully charged comes with its own charging corda family member bought an android smart phone last april and this battery charger charged it completely. we think well use this most when travelling and want backup charge. for an inexpensive, emergency backup charger, it met our expectations. didnt have issues with the designed for america logo as it seems to indicate that it wasnt designed in america or they would have said so. we didnt note it got excessively warm when charging as another reviewer commented. werent able to determine output  if thats inaccurate, obviously the company information should reflect the correct amount. for our needs, so far it works great. will update if an issue occurs.",5star offered us a sample of this portable battery charger to get feedback.
12,"925 sterling silver plated 18  24 inch serpentine necklace chains came in a two pack. they are lightweight chains that look great with one charm on them. two lengths give a choice where of length to match necklines of your clothes so these are great to add to a jewelry collection. both are marked with 935 in the silver. they look very nice on with or without a charm.i was thrilled when i received a second 18 chain from amazon simple review program.  when my adult daughter saw my two new serpentine 925 stirling silver chains, she wanted one too.  now i have her birthday present which is later in february.i received these two chains as part of amazon simple review program.",i received these two chains as part of amazon simple review program.
782,"a bit on the larger side, and with a capacity of 10,400mah 10.4a, the eachine xpower x1 external battery is probably best suited for those with devices that consume higher levels of power, like certain smart phones, tablets like the ipad, and ebook readers like the kindle fire.when the power is turned on, a blue led indicates the percentage of charge available.  there are two usb output ports, one rated at 1a, and a second at 2.1a for higher output devices.  an led that serves as a flashlight, is becoming almost a standard item on power banks, and the x1 has one as well.  when recharging another device, the lcd indicates whether the output is 1.0a or 2.1a, and there is circuitry in the x1 that turns the power off to prevent overcharging.to achieve the higher capacity, much of the unit is devoted to batteries, which makes it larger and heavier than most battery banks.  recharge time is stated as 10 hours, and that8217s a little optimistic, as even with an input of 2 amps, it can take longer than 12 hour, to recharge from 30 or less, back up to 100.  if you are headed off on a trip lasting several days, be sure to allow enough time to fully recharge the unit.  the lcd should also help to insure that you don8217t run short of recharging power.i was provided a sample for evaluation, and if high capacity is a primary concern, the x1, or theeachine xpower x2, which is very similar, could be an a solid choice, as long as you are prepared for the larger size, and weight, as these units are not the most convenient to carry.  no pouch is provided, but a cord with accessory connectors is included.  the cost is on the higher side, so you would want to be very sure that you require this much power before you buy.","i was provided a sample for evaluation, and if high capacity is a primary concern, the x1, or theeachine xpower x2, which is very similar, could be an a solid choice, as long as you are prepared for the larger size, and weight, as these units are not the most convenient to carry."
